id_medicion,numero_serie,tipo_dispositivo,fecha_hora,valores_medidos,rssi,snr,contador_mensajes
219,67706f475d,Sonda de humedad,2026-07-09 13:39:11.977609,"{""bateria"": 85.9, ""humedad_suelo"": 34.9, ""temperatura_suelo"": 21.1, ""conductividad_electrica"": 1.67}",-74.0,-0.5,219
97,fd0b6a02b5,Caudalímetro,2026-07-09 13:43:11.836986,"{""caudal"": 342.9, ""bateria"": 31.7}",-118.7,-16.9,97
255,d98ddb94bf,Sonda de humedad,2026-07-09 15:23:12.012093,"{""bateria"": 70.8, ""humedad_suelo"": 17.7, ""temperatura_suelo"": 24.4, ""conductividad_electrica"": 1.45}",-116.3,5.5,255
715,fd0b6a02b5,Caudalímetro,2026-07-09 17:30:12.557114,"{""caudal"": 350.7, ""bateria"": 67.2}",-79.3,-8.7,715
669,712abda5b3,Caudalímetro,2026-07-09 18:09:12.514668,"{""caudal"": 40.2, ""bateria"": 43.8}",-82.4,-0.8,669
59,9ce3c5dee8,Estación meteorológica,2026-07-09 19:00:11.791778,"{""bateria"": 75.4, ""temperatura"": -1.0, ""precipitaciones"": 8.9, ""radiacion_solar"": 601.1, ""humedad_relativa"": 69.6, ""velocidad_viento"": 44.9}",-117.0,5.6,59
194,712abda5b3,Caudalímetro,2026-07-09 20:40:11.950668,"{""caudal"": 298.0, ""bateria"": 66.0}",-69.5,2.8,194
460,67706f475d,Sonda de humedad,2026-07-09 22:44:12.212095,"{""bateria"": 35.0, ""humedad_suelo"": 12.9, ""temperatura_suelo"": 27.3, ""conductividad_electrica"": 0.58}",-86.9,-2.5,460
138,fd0b6a02b5,Caudalímetro,2026-07-09 23:13:11.885979,"{""caudal"": 104.2, ""bateria"": 78.0}",-94.0,5.2,138
251,fd0b6a02b5,Caudalímetro,2026-07-10 00:41:12.008141,"{""caudal"": 119.2, ""bateria"": 85.8}",-75.3,7.0,251
635,d98ddb94bf,Sonda de humedad,2026-07-10 01:10:12.482107,"{""bateria"": 98.0, ""humedad_suelo"": 30.7, ""temperatura_suelo"": 16.8, ""conductividad_electrica"": 2.4}",-86.7,-17.5,635
38,9ce3c5dee8,Estación meteorológica,2026-07-10 01:15:11.768303,"{""bateria"": 86.6, ""temperatura"": 33.7, ""precipitaciones"": 19.7, ""radiacion_solar"": 304.3, ""humedad_relativa"": 92.7, ""velocidad_viento"": 38.9}",-104.5,-9.3,38
302,67706f475d,Sonda de humedad,2026-07-10 02:41:12.056102,"{""bateria"": 78.8, ""humedad_suelo"": 24.0, ""temperatura_suelo"": 25.6, ""conductividad_electrica"": 0.65}",-79.4,-10.1,302
641,ee8c96e55e,Sonda de humedad,2026-07-10 06:26:12.487807,"{""bateria"": 37.5, ""humedad_suelo"": 45.4, ""temperatura_suelo"": 26.3, ""conductividad_electrica"": 2.64}",-118.3,-15.0,641
726,d98ddb94bf,Sonda de humedad,2026-07-10 06:39:12.567121,"{""bateria"": 35.5, ""humedad_suelo"": 17.4, ""temperatura_suelo"": 32.7, ""conductividad_electrica"": 1.05}",-82.3,-16.2,726
707,ee8c96e55e,Sonda de humedad,2026-07-10 07:58:12.549858,"{""bateria"": 76.1, ""humedad_suelo"": 11.3, ""temperatura_suelo"": 34.7, ""conductividad_electrica"": 2.98}",-115.2,-1.6,707
227,b2fae9ff3a,Estación meteorológica,2026-07-10 08:58:11.985889,"{""bateria"": 81.9, ""temperatura"": 8.6, ""precipitaciones"": 18.9, ""radiacion_solar"": 475.5, ""humedad_relativa"": 96.4, ""velocidad_viento"": 20.8}",-71.4,4.5,227
56,712abda5b3,Caudalímetro,2026-07-10 09:58:11.788256,"{""caudal"": 97.6, ""bateria"": 66.2}",-82.5,8.7,56
360,d98ddb94bf,Sonda de humedad,2026-07-10 10:55:12.114122,"{""bateria"": 44.0, ""humedad_suelo"": 34.3, ""temperatura_suelo"": 34.0, ""conductividad_electrica"": 0.82}",-114.2,-9.5,360
599,67706f475d,Sonda de humedad,2026-07-10 11:10:12.446517,"{""bateria"": 54.4, ""humedad_suelo"": 37.3, ""temperatura_suelo"": 15.2, ""conductividad_electrica"": 2.79}",-69.7,7.6,599
328,b2fae9ff3a,Estación meteorológica,2026-07-10 11:45:12.083109,"{""bateria"": 26.3, ""temperatura"": 37.7, ""precipitaciones"": 14.1, ""radiacion_solar"": 403.7, ""humedad_relativa"": 31.4, ""velocidad_viento"": 5.5}",-94.9,-7.1,328
129,67706f475d,Sonda de humedad,2026-07-10 14:30:11.875034,"{""bateria"": 50.3, ""humedad_suelo"": 45.0, ""temperatura_suelo"": 16.6, ""conductividad_electrica"": 1.62}",-92.4,-1.1,129
209,67706f475d,Sonda de humedad,2026-07-10 14:31:11.965302,"{""bateria"": 83.0, ""humedad_suelo"": 10.0, ""temperatura_suelo"": 29.3, ""conductividad_electrica"": 1.91}",-85.8,2.2,209
668,b2fae9ff3a,Estación meteorológica,2026-07-10 16:20:12.513549,"{""bateria"": 55.5, ""temperatura"": 28.8, ""precipitaciones"": 7.9, ""radiacion_solar"": 616.5, ""humedad_relativa"": 32.1, ""velocidad_viento"": 17.1}",-70.2,-1.3,668
282,5a77a4baa3,Estación meteorológica,2026-07-10 16:39:12.037470,"{""bateria"": 52.7, ""temperatura"": 21.5, ""precipitaciones"": 13.5, ""radiacion_solar"": 475.6, ""humedad_relativa"": 74.5, ""velocidad_viento"": 37.9}",-110.0,-14.6,282
778,d98ddb94bf,Sonda de humedad,2026-07-10 16:46:12.615042,"{""bateria"": 77.2, ""humedad_suelo"": 40.6, ""temperatura_suelo"": 27.3, ""conductividad_electrica"": 1.58}",-102.2,-17.4,778
605,fd0b6a02b5,Caudalímetro,2026-07-10 17:00:12.452682,"{""caudal"": 125.9, ""bateria"": 22.3}",-109.0,-8.7,605
501,d98ddb94bf,Sonda de humedad,2026-07-10 18:18:12.267883,"{""bateria"": 62.2, ""humedad_suelo"": 18.4, ""temperatura_suelo"": 34.1, ""conductividad_electrica"": 0.94}",-116.5,-8.4,501
72,d98ddb94bf,Sonda de humedad,2026-07-10 18:25:11.805618,"{""bateria"": 76.2, ""humedad_suelo"": 46.3, ""temperatura_suelo"": 18.3, ""conductividad_electrica"": 2.29}",-61.2,-6.1,72
299,ee8c96e55e,Sonda de humedad,2026-07-10 20:42:12.053384,"{""bateria"": 46.5, ""humedad_suelo"": 26.2, ""temperatura_suelo"": 24.1, ""conductividad_electrica"": 0.65}",-63.5,9.7,299
195,712abda5b3,Caudalímetro,2026-07-10 22:35:11.951702,"{""caudal"": 475.6, ""bateria"": 96.2}",-108.0,2.0,195
465,d98ddb94bf,Sonda de humedad,2026-07-10 23:33:12.219575,"{""bateria"": 21.6, ""humedad_suelo"": 23.6, ""temperatura_suelo"": 28.4, ""conductividad_electrica"": 1.94}",-99.8,-8.5,465
493,fd0b6a02b5,Caudalímetro,2026-07-10 23:41:12.256486,"{""caudal"": 199.5, ""bateria"": 91.2}",-73.5,-1.5,493
358,fd0b6a02b5,Caudalímetro,2026-07-11 00:04:12.112220,"{""caudal"": 380.1, ""bateria"": 79.1}",-97.1,-4.8,358
286,fd0b6a02b5,Caudalímetro,2026-07-11 00:46:12.041359,"{""caudal"": 166.2, ""bateria"": 93.8}",-112.0,-14.3,286
262,d98ddb94bf,Sonda de humedad,2026-07-11 02:06:12.018626,"{""bateria"": 30.9, ""humedad_suelo"": 36.4, ""temperatura_suelo"": 20.4, ""conductividad_electrica"": 2.36}",-83.5,-14.3,262
583,e4bd1c8ce5,Caudalímetro,2026-07-11 03:13:12.429171,"{""caudal"": 246.7, ""bateria"": 87.0}",-99.4,-15.8,583
296,d98ddb94bf,Sonda de humedad,2026-07-11 03:51:12.050346,"{""bateria"": 72.0, ""humedad_suelo"": 43.6, ""temperatura_suelo"": 34.0, ""conductividad_electrica"": 0.76}",-72.7,3.5,296
592,ee8c96e55e,Sonda de humedad,2026-07-11 03:59:12.438980,"{""bateria"": 62.6, ""humedad_suelo"": 58.2, ""temperatura_suelo"": 19.9, ""conductividad_electrica"": 0.52}",-67.6,-15.5,592
665,5a77a4baa3,Estación meteorológica,2026-07-11 04:06:12.510909,"{""bateria"": 76.0, ""temperatura"": 36.3, ""precipitaciones"": 5.7, ""radiacion_solar"": 465.2, ""humedad_relativa"": 68.3, ""velocidad_viento"": 17.0}",-91.8,-14.9,665
314,e4bd1c8ce5,Caudalímetro,2026-07-11 04:53:12.069076,"{""caudal"": 309.3, ""bateria"": 99.2}",-103.9,0.2,314
440,b2fae9ff3a,Estación meteorológica,2026-07-11 05:15:12.189086,"{""bateria"": 75.2, ""temperatura"": 12.6, ""precipitaciones"": 0.1, ""radiacion_solar"": 868.5, ""humedad_relativa"": 22.1, ""velocidad_viento"": 12.2}",-88.8,-11.3,440
88,ee8c96e55e,Sonda de humedad,2026-07-11 05:41:11.826970,"{""bateria"": 40.0, ""humedad_suelo"": 42.2, ""temperatura_suelo"": 34.6, ""conductividad_electrica"": 0.84}",-67.7,-15.8,88
303,e4bd1c8ce5,Caudalímetro,2026-07-11 05:48:12.057358,"{""caudal"": 104.8, ""bateria"": 89.2}",-107.3,-8.4,303
104,d98ddb94bf,Sonda de humedad,2026-07-11 08:10:11.844916,"{""bateria"": 96.5, ""humedad_suelo"": 11.3, ""temperatura_suelo"": 10.3, ""conductividad_electrica"": 0.92}",-112.9,-10.5,104
333,e4bd1c8ce5,Caudalímetro,2026-07-11 10:17:12.087504,"{""caudal"": 112.0, ""bateria"": 30.4}",-118.0,6.0,333
5,d98ddb94bf,Sonda de humedad,2026-07-11 10:25:11.681181,"{""bateria"": 68.1, ""humedad_suelo"": 57.9, ""temperatura_suelo"": 29.2, ""conductividad_electrica"": 2.84}",-84.0,-14.5,5
680,67706f475d,Sonda de humedad,2026-07-11 11:42:12.525000,"{""bateria"": 56.5, ""humedad_suelo"": 25.0, ""temperatura_suelo"": 29.2, ""conductividad_electrica"": 1.61}",-66.2,3.6,680
216,d98ddb94bf,Sonda de humedad,2026-07-11 12:43:11.973662,"{""bateria"": 81.1, ""humedad_suelo"": 54.0, ""temperatura_suelo"": 27.3, ""conductividad_electrica"": 1.76}",-74.7,-8.8,216
304,d98ddb94bf,Sonda de humedad,2026-07-11 16:00:12.058721,"{""bateria"": 56.5, ""humedad_suelo"": 23.4, ""temperatura_suelo"": 25.9, ""conductividad_electrica"": 1.27}",-83.1,-10.5,304
613,5a77a4baa3,Estación meteorológica,2026-07-11 19:21:12.460316,"{""bateria"": 71.5, ""temperatura"": 19.1, ""precipitaciones"": 2.4, ""radiacion_solar"": 907.8, ""humedad_relativa"": 54.3, ""velocidad_viento"": 56.6}",-108.9,4.0,613
561,9ce3c5dee8,Estación meteorológica,2026-07-11 20:08:12.406855,"{""bateria"": 64.9, ""temperatura"": 0.4, ""precipitaciones"": 17.9, ""radiacion_solar"": 455.0, ""humedad_relativa"": 42.4, ""velocidad_viento"": 25.8}",-92.4,-12.7,561
607,9ce3c5dee8,Estación meteorológica,2026-07-11 21:08:12.454710,"{""bateria"": 80.2, ""temperatura"": 27.9, ""precipitaciones"": 15.6, ""radiacion_solar"": 390.7, ""humedad_relativa"": 60.6, ""velocidad_viento"": 32.8}",-89.8,-2.0,607
781,d98ddb94bf,Sonda de humedad,2026-07-12 00:25:12.617941,"{""bateria"": 94.0, ""humedad_suelo"": 23.3, ""temperatura_suelo"": 21.2, ""conductividad_electrica"": 1.61}",-67.8,-13.7,781
534,b2fae9ff3a,Estación meteorológica,2026-07-12 02:26:12.365883,"{""bateria"": 73.0, ""temperatura"": 7.1, ""precipitaciones"": 8.4, ""radiacion_solar"": 943.0, ""humedad_relativa"": 89.2, ""velocidad_viento"": 29.8}",-116.3,-2.6,534
451,712abda5b3,Caudalímetro,2026-07-12 02:48:12.199420,"{""caudal"": 122.1, ""bateria"": 42.6}",-79.9,-4.3,451
374,b2fae9ff3a,Estación meteorológica,2026-07-12 03:16:12.126811,"{""bateria"": 35.1, ""temperatura"": -3.6, ""precipitaciones"": 7.9, ""radiacion_solar"": 914.8, ""humedad_relativa"": 29.3, ""velocidad_viento"": 53.7}",-93.2,9.4,374
398,e4bd1c8ce5,Caudalímetro,2026-07-12 03:51:12.150200,"{""caudal"": 335.3, ""bateria"": 82.6}",-113.8,-3.8,398
757,712abda5b3,Caudalímetro,2026-07-12 05:12:12.595625,"{""caudal"": 283.4, ""bateria"": 96.1}",-80.7,-13.9,757
525,9ce3c5dee8,Estación meteorológica,2026-07-12 06:54:12.348310,"{""bateria"": 76.4, ""temperatura"": 6.9, ""precipitaciones"": 5.5, ""radiacion_solar"": 17.5, ""humedad_relativa"": 67.2, ""velocidad_viento"": 37.2}",-93.7,-1.5,525
484,fd0b6a02b5,Caudalímetro,2026-07-12 06:56:12.245590,"{""caudal"": 341.8, ""bateria"": 52.0}",-82.2,3.8,484
488,712abda5b3,Caudalímetro,2026-07-12 07:44:12.250422,"{""caudal"": 410.9, ""bateria"": 99.8}",-117.6,1.0,488
695,e4bd1c8ce5,Caudalímetro,2026-07-12 08:39:12.539069,"{""caudal"": 105.5, ""bateria"": 28.7}",-105.8,-10.4,695
22,5a77a4baa3,Estación meteorológica,2026-07-12 08:53:11.748884,"{""bateria"": 85.5, ""temperatura"": 0.0, ""precipitaciones"": 15.6, ""radiacion_solar"": 865.4, ""humedad_relativa"": 74.0, ""velocidad_viento"": 32.0}",-73.7,8.3,22
727,b2fae9ff3a,Estación meteorológica,2026-07-12 09:18:12.567981,"{""bateria"": 66.3, ""temperatura"": 2.1, ""precipitaciones"": 6.4, ""radiacion_solar"": 606.9, ""humedad_relativa"": 79.4, ""velocidad_viento"": 49.5}",-83.6,-4.5,727
527,712abda5b3,Caudalímetro,2026-07-12 11:33:12.350319,"{""caudal"": 378.8, ""bateria"": 34.6}",-114.1,-5.4,527
728,d98ddb94bf,Sonda de humedad,2026-07-12 11:41:12.568799,"{""bateria"": 84.0, ""humedad_suelo"": 57.6, ""temperatura_suelo"": 25.5, ""conductividad_electrica"": 2.83}",-109.6,-2.2,728
224,67706f475d,Sonda de humedad,2026-07-12 12:06:11.982536,"{""bateria"": 93.7, ""humedad_suelo"": 31.7, ""temperatura_suelo"": 32.7, ""conductividad_electrica"": 0.87}",-69.4,7.7,224
430,e4bd1c8ce5,Caudalímetro,2026-07-12 14:17:12.179717,"{""caudal"": 299.3, ""bateria"": 45.2}",-107.8,-18.6,430
77,712abda5b3,Caudalímetro,2026-07-12 14:51:11.811382,"{""caudal"": 108.4, ""bateria"": 58.9}",-80.3,-9.4,77
672,d98ddb94bf,Sonda de humedad,2026-07-12 15:18:12.517584,"{""bateria"": 74.0, ""humedad_suelo"": 58.2, ""temperatura_suelo"": 34.3, ""conductividad_electrica"": 1.61}",-65.9,8.6,672
80,b2fae9ff3a,Estación meteorológica,2026-07-12 15:48:11.816414,"{""bateria"": 81.7, ""temperatura"": 28.1, ""precipitaciones"": 5.2, ""radiacion_solar"": 875.7, ""humedad_relativa"": 68.7, ""velocidad_viento"": 9.7}",-112.5,-17.5,80
276,e4bd1c8ce5,Caudalímetro,2026-07-12 16:06:12.031723,"{""caudal"": 418.8, ""bateria"": 24.6}",-111.1,6.3,276
682,b2fae9ff3a,Estación meteorológica,2026-07-12 16:56:12.526926,"{""bateria"": 71.6, ""temperatura"": 35.4, ""precipitaciones"": 16.3, ""radiacion_solar"": 689.7, ""humedad_relativa"": 83.9, ""velocidad_viento"": 59.9}",-96.8,7.2,682
101,b2fae9ff3a,Estación meteorológica,2026-07-12 18:13:11.841055,"{""bateria"": 50.9, ""temperatura"": 7.8, ""precipitaciones"": 0.4, ""radiacion_solar"": 38.4, ""humedad_relativa"": 31.4, ""velocidad_viento"": 31.0}",-87.4,7.5,101
743,9ce3c5dee8,Estación meteorológica,2026-07-12 18:29:12.583307,"{""bateria"": 64.1, ""temperatura"": 11.9, ""precipitaciones"": 4.1, ""radiacion_solar"": 143.8, ""humedad_relativa"": 32.2, ""velocidad_viento"": 27.9}",-110.2,6.2,743
51,fd0b6a02b5,Caudalímetro,2026-07-12 19:21:11.781867,"{""caudal"": 49.0, ""bateria"": 52.2}",-67.2,3.8,51
171,5a77a4baa3,Estación meteorológica,2026-07-12 20:36:11.924174,"{""bateria"": 98.4, ""temperatura"": 37.6, ""precipitaciones"": 2.9, ""radiacion_solar"": 753.8, ""humedad_relativa"": 22.0, ""velocidad_viento"": 30.8}",-94.3,-9.0,171
297,e4bd1c8ce5,Caudalímetro,2026-07-12 21:30:12.051491,"{""caudal"": 329.7, ""bateria"": 78.1}",-119.7,7.7,297
643,e4bd1c8ce5,Caudalímetro,2026-07-12 22:16:12.489735,"{""caudal"": 331.1, ""bateria"": 46.0}",-110.3,6.4,643
498,d98ddb94bf,Sonda de humedad,2026-07-12 22:38:12.263715,"{""bateria"": 35.4, ""humedad_suelo"": 37.5, ""temperatura_suelo"": 15.1, ""conductividad_electrica"": 2.56}",-83.7,-5.2,498
651,5a77a4baa3,Estación meteorológica,2026-07-12 23:11:12.497908,"{""bateria"": 36.7, ""temperatura"": 20.4, ""precipitaciones"": 7.1, ""radiacion_solar"": 187.4, ""humedad_relativa"": 79.3, ""velocidad_viento"": 1.7}",-67.9,2.8,651
293,ee8c96e55e,Sonda de humedad,2026-07-13 00:28:12.047547,"{""bateria"": 25.7, ""humedad_suelo"": 54.2, ""temperatura_suelo"": 15.9, ""conductividad_electrica"": 2.1}",-64.7,-18.6,293
457,5a77a4baa3,Estación meteorológica,2026-07-13 00:46:12.205849,"{""bateria"": 70.1, ""temperatura"": 24.8, ""precipitaciones"": 8.2, ""radiacion_solar"": 415.2, ""humedad_relativa"": 52.9, ""velocidad_viento"": 7.7}",-110.7,-5.6,457
320,ee8c96e55e,Sonda de humedad,2026-07-13 02:12:12.075467,"{""bateria"": 58.7, ""humedad_suelo"": 51.8, ""temperatura_suelo"": 16.2, ""conductividad_electrica"": 0.92}",-89.0,-1.3,320
